# handler-routes.tsv — upstream registration → route key.
#
# Consumed by scripts/extract_i4_direct_handler.py (rule I4, docs/42 §6.3): the
# `handler` column is the name a handler test can call as `testHandler.<handler>(w, req)`.
# source: docs/fixtures/upstream-routes.tsv joined with the second argument of the
#         server/cmd/server/router.go registration on the line that table cites.
# upstream commit: 90e0bdf830436b3981b32a7017e1c18d41c7cdea
# regenerate: python3 scripts/upstream_handler_index.py --upstream <checkout> --write-handler-routes
# rows: 456 routes — 451 callable handler methods (`h.<Name>`), 3 otherwise qualified (`pkg.fn`), 1 call expressions, 1 inline closures; `-` means a test cannot call the route's registration as `testHandler.X`, so rule I4 never emits from it. 18 of 456 rows cite a path written as a package constant, which cannot be re-checked here; those rows trust the line number upstream-routes.tsv recorded.
#
# handler	method	path	owner	# router.go:N
AttachLabelToSkill	POST	/api/skills/{id}/labels	M6	# router.go:2244
BatchDeleteIssues	POST	/api/issues/batch-delete	M2-A	# router.go:1972
BatchIssueGCCheck	POST	/api/daemon/workspaces/{workspaceId}/issues/gc-check	M3	# router.go:1564
BatchUpdateIssues	POST	/api/issues/batch-update	M2-A	# router.go:1971
BeginLarkInstall	POST	/api/workspaces/{id}/lark/install/begin	M7	# router.go:1790
BootstrapOnboardingNoRuntime	POST	/api/me/onboarding/no-runtime-bootstrap	M9	# router.go:1627
BootstrapOnboardingRuntime	POST	/api/me/onboarding/runtime-bootstrap	M9	# router.go:1626
CancelAgentTasks	POST	/api/agents/{id}/cancel-tasks	M3	# router.go:2190
CancelTask	POST	/api/issues/{id}/tasks/{taskId}/cancel	M3	# router.go:1993
CancelTaskByUser	POST	/api/tasks/{taskId}/cancel	M3	# router.go:2314
ChildIssueProgress	GET	/api/issues/child-progress	M2-A	# router.go:1961
ClaimTaskByRuntime	POST	/api/daemon/runtimes/{runtimeId}/tasks/claim	M3	# router.go:1539
ClaimTasksByRuntime	POST	/api/daemon/claim	M3	# router.go:1544
ClaimTasksByRuntime	POST	/api/daemon/tasks/claim	M3	# router.go:1543
ClearQueuedChatTasks	DELETE	/api/chat/sessions/{sessionId}/queued-tasks	M4	# router.go:2351
CompleteOnboarding	POST	/api/me/onboarding/complete	M9	# router.go:1618
CompleteTask	POST	/api/daemon/tasks/{taskId}/complete	M3	# router.go:1557
ComposioCallback	GET	/api/integrations/composio/callback	M8	# router.go:1517
ComposioConnectInit	POST	/api/integrations/composio/connect/init	M8	# router.go:1866
ConfigurePlugin	PUT	/api/workspaces/{id}/plugins/{installationId}/config	M6	# router.go:1744
ConnectVCS	POST	/api/workspaces/{id}/vcs/connections	M8	# router.go:1761
ConsumeChatDraftRestore	DELETE	/api/chat/sessions/{sessionId}/draft-restores/{restoreId}	M4	# router.go:2357
CountUnreadInbox	GET	/api/inbox/unread-count	M2-C	# router.go:2385
CreateAgent	POST	/api/agents/	M3	# router.go:2179
CreateAgentBuilderSession	POST	/api/agent-builder/sessions/	M3	# router.go:2225
CreateAutopilot	POST	/api/autopilots/	M5	# router.go:2102
CreateAutopilotTrigger	POST	/api/autopilots/{id}/triggers	M5	# router.go:2115
CreateChatSession	POST	/api/chat/sessions/	M4	# router.go:2335
CreateCloudBillingCheckoutSession	POST	/api/cloud-billing/checkout-sessions	M9	# router.go:1918
CreateCloudBillingPortalSession	POST	/api/cloud-billing/portal-sessions	M9	# router.go:1920
CreateCloudRuntimeNode	POST	/api/cloud-runtime/nodes	M3	# router.go:2304
CreateCloudWorkspaceSubscriptionCheckout	POST	/api/cloud-subscriptions/checkout-sessions	M9	# router.go:1939
CreateCloudWorkspaceSubscriptionPortal	POST	/api/cloud-subscriptions/portal-sessions	M9	# router.go:1943
CreateComment	POST	/api/issues/{id}/comments	M2-A	# router.go:1979
CreateCommentSubIssue	POST	/api/comments/{commentId}/sub-issues	M2-B	# router.go:2161
CreateContactSales	POST	/api/contact-sales	M9	# router.go:1479
CreateFeedback	POST	/api/feedback	M9	# router.go:1634
CreateInvitation	POST	/api/workspaces/{id}/members	M1	# router.go:1701
CreateIssue	POST	/api/issues/	M2-A	# router.go:1968
CreateIssueStatus	POST	/api/issue-statuses/	M2-A	# router.go:2056
CreateIssueView	POST	/api/issue-views/	M2-A	# router.go:2140
CreateIssueWakeup	POST	/api/issues/{id}/wakeups	M5	# router.go:1987
CreateIssueWakeup	PUT	/api/issues/{id}/wakeups/{wakeupID}	M5	# router.go:1988
CreateLabel	POST	/api/labels/	M2-E	# router.go:2043
CreateMikaAgent	POST	/api/agents/mika	M9	# router.go:2184
CreatePersonalAccessToken	POST	/api/tokens/	M1	# router.go:1881
CreatePin	POST	/api/pins/	M2-A	# router.go:2130
CreatePluginComment	POST	/api/plugin-bridge/v1/issues/{issue_ref}/comments	M6	# router.go:107
CreatePluginComment	POST	/v1/issues/{issue_ref}/comments	M6	# router.go:107
CreateProject	POST	/api/projects/	M4	# router.go:2068
CreateProjectResource	POST	/api/projects/{id}/resources	M4	# router.go:2074
CreateProperty	POST	/api/properties/	M2-E	# router.go:2033
CreateQuickAction	POST	/api/quick-actions/	M3+	# router.go:2023
CreateRuntimeProfile	POST	/api/workspaces/{id}/runtime-profiles	M3	# router.go:1717
CreateShareLink	POST	/api/workspaces/{id}/share-links	M1	# router.go:1713
CreateSkill	POST	/api/skills/	M6	# router.go:2235
CreateSquad	POST	/api/squads/	M4	# router.go:2083
CreateWorkspace	POST	/api/workspaces/	M1	# router.go:1659
CreateWorkspaceMcpServer	POST	/api/workspaces/{id}/mcp-servers	M8	# router.go:1710
CronPreview	GET	/api/autopilots/cron-preview	M5	# router.go:2103
DaemonDeregister	POST	/api/daemon/deregister	M3	# router.go:1524
DaemonHeartbeat	POST	/api/daemon/heartbeat	M3	# router.go:1525
DaemonListRuntimeProfiles	GET	/api/daemon/workspaces/{workspaceId}/runtime-profiles	M3	# router.go:1529
DaemonRegister	POST	/api/daemon/register	M3	# router.go:1523
DaemonWebSocket	GET	/api/daemon/ws	M3	# router.go:1526
DeclineInvitation	POST	/api/invitations/{id}/decline	M1	# router.go:1876
DeleteAgentRuntime	DELETE	/api/runtimes/{runtimeId}/	M3	# router.go:2281
DeleteAttachment	DELETE	/api/attachments/{id}	M3+	# router.go:2156
DeleteAutopilot	DELETE	/api/autopilots/{id}/	M5	# router.go:2108
DeleteAutopilotTrigger	DELETE	/api/autopilots/{id}/triggers/{triggerId}/	M5	# router.go:2118
DeleteChatSession	DELETE	/api/chat/sessions/{sessionId}/	M4	# router.go:2342
DeleteCloudRuntimeNode	DELETE	/api/cloud-runtime/nodes	M3	# router.go:2305
DeleteComment	DELETE	/api/comments/{commentId}/	M2-B	# router.go:2163
DeleteComment	DELETE	/api/comments/{commentId}/keep-replies	M2-B	# router.go:2169
DeleteComposioConnection	DELETE	/api/integrations/composio/connections/{id}	M8	# router.go:1869
DeleteGitHubInstallation	DELETE	/api/workspaces/{id}/github/installations/{installationId}	M8	# router.go:1759
DeleteIssue	DELETE	/api/issues/{id}/	M2-A	# router.go:1977
DeleteIssueMetadataKey	DELETE	/api/issues/{id}/metadata/{key}	M2-A	# router.go:2008
DeleteIssueProperty	DELETE	/api/issues/{id}/properties/{propertyId}	M2-A	# router.go:2010
DeleteIssueView	DELETE	/api/issue-views/{id}/	M2-A	# router.go:2144
DeleteLabel	DELETE	/api/labels/{id}/	M2-E	# router.go:2047
DeleteMember	DELETE	/api/workspaces/{id}/members/{memberId}/	M1	# router.go:1704
DeletePin	DELETE	/api/pins/{itemType}/{itemId}	M2-A	# router.go:2132
DeletePluginPackage	DELETE	/api/workspaces/{id}/plugins/packages/{packageId}	M6	# router.go:1727
DeletePluginStorage	DELETE	/api/plugin-bridge/v1/storage/{scope}/{key}	M6	# router.go:111
DeletePluginStorage	DELETE	/v1/storage/{scope}/{key}	M6	# router.go:111
DeleteProject	DELETE	/api/projects/{id}/	M4	# router.go:2072
DeleteProjectResource	DELETE	/api/projects/{id}/resources/{resourceId}	M4	# router.go:2076
DeleteQuickAction	DELETE	/api/quick-actions/{id}/	M3+	# router.go:2026
DeleteRuntimeProfile	DELETE	/api/workspaces/{id}/runtime-profiles/{profileId}	M3	# router.go:1720
DeleteSkill	DELETE	/api/skills/{id}/	M6	# router.go:2241
DeleteSkillFile	DELETE	/api/skills/{id}/files/{fileId}	M6	# router.go:2248
DeleteSquad	DELETE	/api/squads/{id}/	M4	# router.go:2087
DeleteVCSConnection	DELETE	/api/workspaces/{id}/vcs/connections/{connectionId}	M8	# router.go:1763
DeleteWorkspace	DELETE	/api/workspaces/{id}/	M1	# router.go:1750
DeleteWorkspaceMcpServer	DELETE	/api/workspaces/{id}/mcp-servers/{serverId}	M8	# router.go:1712
DetachLabel	DELETE	/api/issues/{id}/labels/{labelId}	M2-A	# router.go:2005
DetachLabelFromAgent	DELETE	/api/agents/{id}/labels/{labelId}	M3	# router.go:2198
DetachLabelFromSkill	DELETE	/api/skills/{id}/labels/{labelId}	M6	# router.go:2245
DisableIssueWakeup	POST	/api/issues/{id}/wakeups/{wakeupID}/disable	M5	# router.go:1989
DisablePlugin	POST	/api/workspaces/{id}/plugins/{installationId}/disable	M6	# router.go:1746
DownloadAttachment	GET	/api/attachments/{id}/download	M3+	# router.go:1655
DownloadAttachmentWithCapability	GET	/api/attachments/{id}/signed-download	M3+	# router.go:1447
EditIssueWakeupInstruction	PATCH	/api/issues/{id}/wakeups/{wakeupID}/instruction	M5	# router.go:1991
EnableIssueWakeup	POST	/api/issues/{id}/wakeups/{wakeupID}/enable	M5	# router.go:1990
EnablePlugin	POST	/api/workspaces/{id}/plugins/{installationId}/enable	M6	# router.go:1745
ExecCloudRuntimeNode	POST	/api/cloud-runtime/nodes/exec	M3	# router.go:2310
ExtendTaskPrepareLease	POST	/api/daemon/runtimes/{runtimeId}/tasks/{taskId}/prepare-lease	M3	# router.go:1545
FailTask	POST	/api/daemon/tasks/{taskId}/fail	M3	# router.go:1558
ForgetDingTalkGroup	DELETE	/api/workspaces/{id}/dingtalk/installations/{installationId}/groups/{conversationId}	M7	# router.go:1816
GetActiveTaskForIssue	GET	/api/issues/{id}/active-task	M3	# router.go:1992
GetAgent	GET	/api/agents/{id}/	M3	# router.go:2186
GetAgentEnv	GET	/api/agents/{id}/env	M3	# router.go:2215
GetArchivedInboxFacets	GET	/api/inbox/archived/facets	M2-C	# router.go:2384
GetAssigneeFrequency	GET	/api/assignee-frequency	M2-A	# router.go:1952
GetAttachmentByID	GET	/api/attachments/{id}	M3+	# router.go:2149
GetAttachmentContent	GET	/api/attachments/{id}/content	M3+	# router.go:2155
GetAutopilot	GET	/api/autopilots/{id}/	M5	# router.go:2106
GetAutopilotDelivery	GET	/api/autopilots/{id}/deliveries/{deliveryId}	M5	# router.go:2113
GetAutopilotQuotaUsage	GET	/api/autopilots/usage	M5	# router.go:2104
GetAutopilotRun	GET	/api/autopilots/{id}/runs/{runId}	M5	# router.go:2111
GetAutopilotRunGCCheck	GET	/api/daemon/autopilot-runs/{runId}/gc-check	M3	# router.go:1567
GetChatChannelHistory	GET	/api/chat/history	M4	# router.go:2373
GetChatSession	GET	/api/chat/sessions/{sessionId}/	M4	# router.go:2338
GetChatSessionGCCheck	GET	/api/daemon/chat-sessions/{sessionId}/gc-check	M3	# router.go:1566
GetChatThread	GET	/api/chat/thread	M4	# router.go:2374
GetCloudBillingBalance	GET	/api/cloud-billing/balance	M9	# router.go:1913
GetCloudBillingCheckoutSession	GET	/api/cloud-billing/checkout-sessions/{sessionId}	M9	# router.go:1919
GetCloudRuntimeHealth	GET	/api/cloud-runtime/healthz	M3	# router.go:2301
GetCloudRuntimeNodeStatus	POST	/api/cloud-runtime/nodes/status	M3	# router.go:2309
GetCloudRuntimeReady	GET	/api/cloud-runtime/readyz	M3	# router.go:2302
GetCloudRuntimeService	GET	/api/cloud-runtime/	M3	# router.go:2300
GetCloudWorkspaceSubscriptionPrices	GET	/api/cloud-subscriptions/prices	M9	# router.go:1935
GetCloudWorkspaceSubscriptionSummary	GET	/api/cloud-subscriptions/summary	M9	# router.go:1934
GetConfig	GET	/api/config	M10	# router.go:1478
GetDaemonWorkspaceRepos	GET	/api/daemon/workspaces/{workspaceId}/repos	M3	# router.go:1528
GetDashboardAgentRunTime	GET	/api/dashboard/agent-runtime	M9	# router.go:2258
GetDashboardFailuresByAgent	GET	/api/dashboard/failures/by-agent	M9	# router.go:2261
GetDashboardFailuresDaily	GET	/api/dashboard/failures/daily	M9	# router.go:2260
GetDashboardRunTimeDaily	GET	/api/dashboard/runtime/daily	M9	# router.go:2259
GetDashboardUsageByAgent	GET	/api/dashboard/usage/by-agent	M9	# router.go:2257
GetDashboardUsageDaily	GET	/api/dashboard/usage/daily	M9	# router.go:2256
GetIssue	GET	/api/issues/{id}/	M2-A	# router.go:1974
GetIssueGCCheck	GET	/api/daemon/issues/{issueId}/gc-check	M3	# router.go:1565
GetIssueLimitUsage	GET	/api/issues/limit-usage	M2-A	# router.go:1956
GetIssueUsage	GET	/api/issues/{id}/usage	M3	# router.go:1998
GetIssueViewByID	GET	/api/issue-views/{id}/	M2-A	# router.go:2142
GetIssueViewPreference	GET	/api/issue-view-preferences	M2-A	# router.go:2136
GetLabel	GET	/api/labels/{id}/	M2-E	# router.go:2045
GetLarkInstallStatus	GET	/api/workspaces/{id}/lark/install/{sessionId}/status	M7	# router.go:1791
GetLocalSkillImportRequest	GET	/api/runtimes/{runtimeId}/local-skills/import/{requestId}	M3	# router.go:2280
GetLocalSkillListRequest	GET	/api/runtimes/{runtimeId}/local-skills/{requestId}	M3	# router.go:2278
GetMe	GET	/api/me	M1	# router.go:1615
GetModelListRequest	GET	/api/runtimes/{runtimeId}/models/{requestId}	M3	# router.go:2276
GetMyInvitation	GET	/api/invitations/{id}	M1	# router.go:1874
GetNotificationPreferences	GET	/api/notification-preferences/	M9	# router.go:2401
GetPendingChatTask	GET	/api/chat/sessions/{sessionId}/pending-task	M4	# router.go:2350
GetPluginContext	GET	/api/plugin-bridge/v1/context	M6	# router.go:103
GetPluginContext	GET	/v1/context	M6	# router.go:103
GetPluginIssue	GET	/api/plugin-bridge/v1/issues/{issue_ref}	M6	# router.go:104
GetPluginIssue	GET	/v1/issues/{issue_ref}	M6	# router.go:104
GetPluginStorage	GET	/api/plugin-bridge/v1/storage/{scope}/{key}	M6	# router.go:109
GetPluginStorage	GET	/v1/storage/{scope}/{key}	M6	# router.go:109
GetPluginSurfaceLaunch	GET	/api/workspaces/{id}/plugins/{installationId}/surfaces/{surfaceKey}/launch	M6	# router.go:1694
GetProject	GET	/api/projects/{id}/	M4	# router.go:2070
GetProperty	GET	/api/properties/{id}/	M2-E	# router.go:2035
GetRuntimeProfile	GET	/api/workspaces/{id}/runtime-profiles/{profileId}	M3	# router.go:1681
GetRuntimeTaskActivity	GET	/api/runtimes/{runtimeId}/activity	M3	# router.go:2272
GetRuntimeUsage	GET	/api/runtimes/{runtimeId}/usage	M3	# router.go:2269
GetRuntimeUsageByAgent	GET	/api/runtimes/{runtimeId}/usage/by-agent	M3	# router.go:2270
GetRuntimeUsageByHour	GET	/api/runtimes/{runtimeId}/usage/by-hour	M3	# router.go:2271
GetShareLinkInfo	GET	/api/share-links/{code}	M1	# router.go:1482
GetSkill	GET	/api/skills/{id}/	M6	# router.go:2239
GetSquad	GET	/api/squads/{id}/	M4	# router.go:2085
GetTaskGCCheck	GET	/api/daemon/tasks/{taskId}/gc-check	M3	# router.go:1568
GetTaskStatus	GET	/api/daemon/tasks/{taskId}/status	M3	# router.go:1553
GetUpdate	GET	/api/runtimes/{runtimeId}/update/{updateId}	M3	# router.go:2274
GetWorkspace	GET	/api/workspaces/{id}/	M1	# router.go:1664
GetWorkspaceAgentActivity30d	GET	/api/agent-activity-30d	M3	# router.go:2329
GetWorkspaceAgentRunCounts	GET	/api/agent-run-counts	M3	# router.go:2332
GitHubConnect	GET	/api/workspaces/{id}/github/connect	M8	# router.go:1757
GitHubSetupCallback	GET	/api/github/setup	M8	# router.go:1491
GoogleLogin	POST	/auth/google	M1	# router.go:1474
HandleAutopilotWebhook	POST	/api/webhooks/autopilots/{token}	M5	# router.go:1487
HandleCloudBillingStripeWebhook	POST	/api/webhooks/stripe	M9	# router.go:1505
HandleGitHubWebhook	POST	/api/webhooks/github	M8	# router.go:1490
HandleVCSWebhook	POST	/api/webhooks/vcs/{connectionId}	M8	# router.go:1500
HasPendingChatTasks	GET	/api/chat/pending-tasks/has-any	M4	# router.go:2361
ImportSkill	POST	/api/skills/import	M6	# router.go:2237
InitiateImportLocalSkill	POST	/api/runtimes/{runtimeId}/local-skills/import	M3	# router.go:2279
InitiateListLocalSkills	POST	/api/runtimes/{runtimeId}/local-skills	M3	# router.go:2277
InitiateListModels	POST	/api/runtimes/{runtimeId}/models	M3	# router.go:2275
InitiateUpdate	POST	/api/runtimes/{runtimeId}/update	M3	# router.go:2273
InstallPlugin	POST	/api/workspaces/{id}/plugins	M6	# router.go:1736
InvokeAgentPluginHook	POST	/api/daemon/tasks/{id}/plugin-hooks	M3	# router.go:1534
InvokePluginHook	POST	/api/plugin-bridge/v1/hooks/{key}	M6	# router.go:1598
IssueCliToken	POST	/api/cli-token	M1	# router.go:1628
JoinByShareLink	POST	/api/share-links/join	M1	# router.go:1877
JoinCloudWaitlist	POST	/api/me/onboarding/cloud-waitlist	M9	# router.go:1619
LeaveWorkspace	POST	/api/workspaces/{id}/leave	M1	# router.go:1666
ListAgentBuilderSessions	GET	/api/agent-builder/sessions/	M3	# router.go:2224
ListAgentMcpServers	GET	/api/agents/{id}/mcp-servers	M8	# router.go:2206
ListAgentRuntimes	GET	/api/runtimes/	M3	# router.go:2266
ListAgentSkills	GET	/api/agents/{id}/skills	M6	# router.go:2193
ListAgentTasks	GET	/api/agents/{id}/tasks	M3	# router.go:2191
ListAgents	GET	/api/agents/	M3	# router.go:2178
ListArchivedInbox	GET	/api/inbox/archived	M2-C	# router.go:2382
ListArchivedInboxPage	GET	/api/inbox/archived/page	M2-C	# router.go:2383
ListAttachments	GET	/api/issues/{id}/attachments	M3+	# router.go:2001
ListAutopilotDeliveries	GET	/api/autopilots/{id}/deliveries	M5	# router.go:2112
ListAutopilotRuns	GET	/api/autopilots/{id}/runs	M5	# router.go:2110
ListAutopilots	GET	/api/autopilots/	M5	# router.go:2101
ListChatDraftRestores	GET	/api/chat/sessions/{sessionId}/draft-restores	M4	# router.go:2356
ListChatMessages	GET	/api/chat/sessions/{sessionId}/messages	M4	# router.go:2348
ListChatMessagesPage	GET	/api/chat/sessions/{sessionId}/messages/page	M4	# router.go:2349
ListChatPinnedAgents	GET	/api/chat/pinned-agents	M4	# router.go:2364
ListChatSessions	GET	/api/chat/sessions/	M4	# router.go:2336
ListChildIssues	GET	/api/issues/{id}/children	M2-A	# router.go:2002
ListChildrenByParents	GET	/api/issues/children	M2-A	# router.go:1962
ListCloudBillingBatches	GET	/api/cloud-billing/batches	M9	# router.go:1915
ListCloudBillingPriceTiers	GET	/api/cloud-billing/price-tiers	M9	# router.go:1917
ListCloudBillingTopups	GET	/api/cloud-billing/topups	M9	# router.go:1916
ListCloudBillingTransactions	GET	/api/cloud-billing/transactions	M9	# router.go:1914
ListCloudRuntimeNodes	GET	/api/cloud-runtime/nodes	M3	# router.go:2303
ListComments	GET	/api/issues/{id}/comments	M2-A	# router.go:1980
ListComposioConnections	GET	/api/integrations/composio/connections	M8	# router.go:1868
ListComposioToolkits	GET	/api/integrations/composio/toolkits	M8	# router.go:1867
ListDaemonWorkspaces	GET	/api/daemon/workspaces	M3	# router.go:1527
ListDingTalkGroups	GET	/api/workspaces/{id}/dingtalk/groups	M7	# router.go:1815
ListDingTalkGroupsForAgent	GET	/api/agents/{id}/dingtalk/groups	M7	# router.go:2192
ListDingTalkInstallations	GET	/api/workspaces/{id}/dingtalk/installations	M7	# router.go:1814
ListGitHubInstallationRepositories	GET	/api/workspaces/{id}/github/installations/{installationId}/repositories	M8	# router.go:1758
ListGitHubInstallations	GET	/api/workspaces/{id}/github/installations	M8	# router.go:1672
ListGroupedIssues	GET	/api/issues/grouped	M2-A	# router.go:1963
ListInbox	GET	/api/inbox/	M2-C	# router.go:2378
ListIssueMetadata	GET	/api/issues/{id}/metadata	M2-A	# router.go:2006
ListIssueStatuses	GET	/api/issue-statuses/	M2-A	# router.go:2055
ListIssueSubscribers	GET	/api/issues/{id}/subscribers	M2-A	# router.go:1982
ListIssueTableFacets	POST	/api/issues/table/facets	M2-D	# router.go:1959
ListIssueTableGroups	POST	/api/issues/table/groups	M2-D	# router.go:1957
ListIssueTableRows	POST	/api/issues/table/rows	M2-D	# router.go:1958
ListIssueViews	GET	/api/issue-views/	M2-A	# router.go:2139
ListIssueWakeups	GET	/api/issues/{id}/wakeups	M5	# router.go:1986
ListIssues	GET	/api/issues/	M2-A	# router.go:1964
ListLabels	GET	/api/labels/	M2-E	# router.go:2042
ListLabelsForAgent	GET	/api/agents/{id}/labels	M3	# router.go:2196
ListLabelsForIssue	GET	/api/issues/{id}/labels	M2-A	# router.go:2003
ListLabelsForSkill	GET	/api/skills/{id}/labels	M6	# router.go:2243
ListLarkInstallations	GET	/api/workspaces/{id}/lark/installations	M7	# router.go:1783
ListMembersWithUser	GET	/api/workspaces/{id}/members	M1	# router.go:1665
ListMyInvitations	GET	/api/invitations	M1	# router.go:1873
ListPendingChatTasks	GET	/api/chat/pending-tasks	M4	# router.go:2360
ListPendingTasksByRuntime	GET	/api/daemon/runtimes/{runtimeId}/tasks/pending	M3	# router.go:1547
ListPersonalAccessTokens	GET	/api/tokens/	M1	# router.go:1880
ListPins	GET	/api/pins/	M2-A	# router.go:2129
ListPluginComments	GET	/api/plugin-bridge/v1/issues/{issue_ref}/comments	M6	# router.go:106
ListPluginComments	GET	/v1/issues/{issue_ref}/comments	M6	# router.go:106
ListPluginInvocations	GET	/api/workspaces/{id}/plugins/{installationId}/invocations	M6	# router.go:1737
ListPluginMCPTools	GET	/api/workspaces/{id}/plugins/{installationId}/mcp/{hookKey}/tools	M6	# router.go:1742
ListPluginPackages	GET	/api/workspaces/{id}/plugins/packages	M6	# router.go:1724
ListPluginStorage	GET	/api/plugin-bridge/v1/storage/{scope}	M6	# router.go:108
ListPluginStorage	GET	/v1/storage/{scope}	M6	# router.go:108
ListPlugins	GET	/api/workspaces/{id}/plugins	M6	# router.go:1690
ListProjectResources	GET	/api/projects/{id}/resources	M4	# router.go:2073
ListProjects	GET	/api/projects/	M4	# router.go:2067
ListProperties	GET	/api/properties/	M2-E	# router.go:2032
ListPullRequestsForIssue	GET	/api/issues/{id}/pull-requests	M8	# router.go:2011
ListQuickActions	GET	/api/quick-actions/	M3+	# router.go:2022
ListRuntimeProfiles	GET	/api/workspaces/{id}/runtime-profiles	M3	# router.go:1680
ListShareLinks	GET	/api/workspaces/{id}/share-links	M1	# router.go:1715
ListSkillFiles	GET	/api/skills/{id}/files	M6	# router.go:2246
ListSkills	GET	/api/skills/	M6	# router.go:2234
ListSlackInstallations	GET	/api/workspaces/{id}/slack/installations	M7	# router.go:1801
ListSquadMemberStatus	GET	/api/squads/{id}/members/status	M4	# router.go:2089
ListSquadMembers	GET	/api/squads/{id}/members	M4	# router.go:2088
ListSquads	GET	/api/squads/	M4	# router.go:2082
ListTaskMessages	GET	/api/daemon/tasks/{taskId}/messages	M3	# router.go:1561
ListTaskMessagesByUser	GET	/api/tasks/{taskId}/messages	M3	# router.go:2016
ListTasksByIssue	GET	/api/issues/{id}/task-runs	M3	# router.go:1997
ListTelegramInstallations	GET	/api/workspaces/{id}/telegram/installations	M7	# router.go:1825
ListTimeline	GET	/api/issues/{id}/timeline	M9	# router.go:1981
ListVCSConnections	GET	/api/workspaces/{id}/vcs/connections	M8	# router.go:1676
ListWecomInstallations	GET	/api/workspaces/{id}/wecom/installations	M7	# router.go:1802
ListWorkspaceAgentTaskSnapshot	GET	/api/agent-task-snapshot	M3	# router.go:2318
ListWorkspaceInvitations	GET	/api/workspaces/{id}/invitations	M1	# router.go:1667
ListWorkspaceMcpServers	GET	/api/workspaces/{id}/mcp-servers	M8	# router.go:1686
ListWorkspaceWakeupSummaries	GET	/api/issue-wakeup-summaries	M5	# router.go:2319
ListWorkspaceWakeups	GET	/api/issue-wakeups	M5	# router.go:2320
ListWorkspaceWorkingAgents	GET	/api/working-agents	M3	# router.go:2324
ListWorkspaces	GET	/api/workspaces/	M1	# router.go:1658
Logout	POST	/auth/logout	M1	# router.go:1475
MarkAllInboxRead	POST	/api/inbox/mark-all-read	M2-C	# router.go:2389
MarkChatSessionRead	POST	/api/chat/sessions/{sessionId}/read	M4	# router.go:2353
MarkInboxRead	POST	/api/inbox/{id}/read	M2-C	# router.go:2393
MarkInboxUnread	POST	/api/inbox/{id}/unread	M2-C	# router.go:2394
MarkTaskWaitingLocalDirectory	POST	/api/daemon/tasks/{taskId}/wait-local-directory	M3	# router.go:1555
MoveIssue	POST	/api/issues/{id}/move	M2-A	# router.go:1976
PatchNotificationPreferences	PATCH	/api/notification-preferences/	M9	# router.go:2402
PatchOnboarding	PATCH	/api/me/onboarding	M9	# router.go:1617
PatchPluginIssue	PATCH	/api/plugin-bridge/v1/issues/{issue_ref}	M6	# router.go:105
PatchPluginIssue	PATCH	/v1/issues/{issue_ref}	M6	# router.go:105
PinChatAgent	POST	/api/chat/pinned-agents	M4	# router.go:2365
PinTaskSession	POST	/api/daemon/tasks/{taskId}/session	M3	# router.go:1571
PreviewCloudWorkspaceSubscriptionSeatPurchase	POST	/api/cloud-subscriptions/seats/purchase-preview	M9	# router.go:1940
